name,Job title,Requirements,Text
Data entry job requried,,"Data Entry Operator/Web Researcher,We are hiring fresh candidates for our current role as Data Entry Operator.,FA/FSC/ICS OR B.com – Intermediate,male and female,Siddiq Trade Center Gulberg 2Lahore,We are an international outsourcing company looking for fresh candidates for our new office in Lahore.,We will provide training for 2 weeks (payable),20000 -25000,Data Entry: 1 year (Preferred),excel: 1 year (Preferred),Remote interview process,Virtual meetings","Data entry job are available,Company: Alpha Outsourcing Solutions,Job Title:,Experience:,Qualification:,Gender:,Location:,Description:,SALARY,(probation period . Will be increased after 3 months),For further details contact us.,Miss Neelam,HR Director,Contact#: 03124058097,Job Type: Full-time,Salary: Rs20,000.00 - Rs25,000.00 per month,Experience:,COVID-19 Precaution(s):"
Web Developer Intern - CMS (WordPress and Shopify),,"Programming skills and in-depth knowledge of modern HTML/CSS,Familiarity with WordPress and Shopify,Understanding of how web applications work including security, session management, and best development practices,Basic knowledge of Search Engine Optimization process,Aggressive problem diagnosis and creative problem solving skills,Strong organizational skills to juggle multiple tasks within the constraints of timelines and budgets with business acumen,Ability to work and thrive in a fast-paced environment, learn rapidly and master diverse web technologies and techniques.,BS in computer science or a related field,Yes","Reference ID: FCS-0021-1,Contract length: 4 months,Part-time hours: 25 per week,Application deadline: 2021-01-05,Expected start date: 2021-01-25,Job Types: Full-time, Part-time, Internship,Salary: Rs15,000.00 per month,Work Remotely:"
PHP Web Developer,,"Develop, record, and maintain cutting edge web-based PHP applications on portal plus premium service platforms,Build innovative, state-of-the-art applications and collaborate with the User Experience (UX) team,Ensure HTML, CSS, and shared JavaScript is valid and consistent across applications,Prepare and maintain all applications utilizing standard development tools,Utilize backend data services and contribute to increasing existing data services API,Lead the entire web application development life cycle right from concept stage to delivery and post-launch support,Convey effectively with all task progress, evaluations, suggestions, schedules along with technical and process issues,Document the development process, architecture, and standard components,Coordinate with co-developers and keeps project manager well informed of the status of development effort and serves as a liaison between development staff and project manager,Keep abreast of new trends and best practices in web development,Previous working experience as a PHP / Coordinator developer for 1 year,BS/MS degree in Computer Science, Engineering or similar relevant field,In-depth knowledge of object-oriented PHP and Coordinator Framework,Hands-on experience with SQL schema design, SOLID principles, REST API design,Software testing (PHPUnit, PHPSpec, Behat),MySQL profiling and query optimization,Creative and efficient problem solver,PHP: 1 year (Preferred)","We are looking for , at , to join our team.,Application Deadline: 28/02/2021,Expected Start Date: 28/02/2021,Job Type: Full-time,Salary: Rs25,000.00 - Rs60,000.00 per month,Experience:"
Web Developer,,"Website Development: 3 years (Required),Bachelor's (Preferred)","We are looking for a Web Developer responsible for managing The City School's website.,The incumbent will also design the overall architecture of the web application and evolve it to ensure maximum performance and stability.,Proficient in WordPress, HTML, PHP, Javascript, and LINUX.,Application Deadline: 13/01/2021,Job Type: Full-time,Salary: Rs60,000.00 - Rs80,000.00 per month,Experience:,Education:"
Project Coordinator,,"Web Development Skill: 1 year (Required),Direct Client communication: 1 year (Required),Agile Technologies: 1 year (Required),Project Management/Coordination: 1 year (Required),Remote interview process,Personal protective equipment provided or required","A client is looking to hire a project coordinator,Requirements:,1- Experience in handling scrum meetings and agile technologies,2- Experience in direct client communication,3- Hands on skills in web development technologies,Contract length: 12 months,Expected Start Date: 26/01/2021,Job Types: Full-time, Contract,Salary: Rs80,000.00 - Rs100,000.00 per month,Experience:,COVID-19 Precaution(s):"
Client Relation Manager for Web Agency,,"Manage the email communication through MS products and project management tools to facilitate clients with their requests related to projects.,Serve as the lead point of contact for all customer account management matters which also will include to work as a bridge between client and vendor.,Build and maintain strong, long-lasting client relationships,Negotiate contracts and close agreements to maximize profits,Develop trusted advisor relationships with key accounts, customer stakeholders,Ensure the timely and successful delivery of our solutions according to customer needs and objectives,Clearly communicate the progress of monthly/quarterly initiatives to internal and external stakeholders,Develop new business with existing clients and/or identify areas of improvement to meet sales quotas,Forecast and track key account metrics (e.g. quarterly sales results and annual forecasts),Prepare reports on account status,Collaborate with sales team to identify and grow opportunities within territory,Assist with challenging client requests or issue escalations as needed,Communication will be key to your success, so you should feel comfortable presenting to and negotiating with senior stakeholders in a professional manner, so that the needs of everyone involved in a project are kept in balance, whilst mediating disputes when required.,You should have a good sense of client-facing and a proven track record of working with customers to build delivery roadmaps. We'll want to discuss previous roadmap processes you have been a part of, including how you helped to distil key client objectives into epics and user stories.,You will focus on improving the delivery team's ability to meet deadlines and adhere to the roadmap by diplomatically protecting them from outside influences and unnecessary distractions.,Proven 1-2 years- work experience as an Account Manager, Key Account Manager, Sales Account Manager, Junior Account Manager or relevant role,Demonstrable ability to communicate, present and influence key stakeholders at all levels of an organization, including executive and C-level,Solid experience with CRM software (e.g. Salesforce, Zoho CRM or HubSpot) and MS Office,Experience delivering client-focused solutions to customer needs,Proven ability to juggle multiple account management projects at a time, while maintaining sharp attention to detail,Excellent listening, negotiation and presentation abilities,Strong verbal and written communication skills,Should have basic knowledge of CMS/Technologies,Office hours will be as per EST hours US.,Strong verbal and written communication skills,BSCS degree in Business Administration, Sales or relevant field,2: 1 year (Preferred),Bachelor's (Required),No","Headquartered in NYC, Shopify Pro is the best team of Shopify Expert Web Designers & Certified Developers. Our expertise is spread across the board ranging from Shopify Web Development, Website Design, Shopify App Development, Digital Marketing to the model of supplying full time freelance developers, & designers, from the range of Shopify expert team we have in house; helping to transform ecommerce businesses functions digitally for continued success in the modern era.,Account management positions include developing strong relationships with customers, connecting with key business executives and stakeholders and preparing sales reports. Account Managers also answer client queries and identify new business opportunities among existing customers. In this role, you will liaise with cross-functional internal teams (including sales and Product Development departments) to improve the entire customer experience.,If you are familiar with account management, have a flair for client communication and understand consumer behavior, we’d like to meet you. Ideally, candidates for this role will know how to meet ambitious individual and team-wide sales quotas.,Office is located in Bahria Town, Lahore - Please keep in mind the commute and EST time zone while applying for this position. If you don't have excellent communication skills, this job isn't for you.,Salary Range: Rs.40,000/- to Rs.60,000/- with commission,Job timings: 5:00 PM to 2:00 AM,*,*,Job Types: Full-time, Contract,Salary: Rs40,000.00 - Rs60,000.00 per month,Experience:,Education:,Work Remotely:"
Front-End Developer,,"web development: 2 years (Required),Front-End HTML Coding: 2 years (Required),Bachelor's (Preferred),Lahore (Required),Temperature screenings,Social distancing guidelines in place,Sanitizing, disinfecting, or cleaning procedures in place","Emenac is looking for Front-end HTML CODER with 3 years of Experience.,Main Responsibilities:,To support, maintain, test and develop websites and new media products,To maintain, and be proactive in improving, the quality of all new media,To translate creative concepts into content rich functional products,To advise on design and build of projects,Building reusable code for future use,Excellent understanding of UI/UX,Determining the structure and design of web pages,Ensuring user experience determines design choices,Developing features to enhance the user experience,Striking a balance between functional and aesthetic design,Ensuring responsiveness of the website,Experience of Psd to html slicing, JS plugins,Optimizing web pages for maximum speed and scalability,Maintaining brand consistency throughout design,Bonus Points for experience with Angular/ReactJS,Must Have:,Proficiency with HTML, CSS, Bootstrap,Familiarity with key design principles,Experience with graphic design applications such as Adobe Photoshop, Illustrator etc,Experience with responsive and adaptive design,Experience with Angular, Vue.js and react is a plus,Excellent interpersonal and problem solving skills,Expected Start Date: 15/01/2021,Job Type: Full-time,Salary: Rs30,000.00 - Rs60,000.00 per month,Experience:,Education:,Location:,COVID-19 Precaution(s):"
Full Stack Web Developer,,django: 2 years (Required),"Job Description (NO Agency Please),Responsible to develop a website by using ,You will build frontend feature where users can upload and modify his product based on multiple criteria such as color, size, graphics to be imprinted, production method, etc.,Opportunity to become a permanent staff,REQUIREMENTS:,Bachelor's degree or above in Computer Science, Computer Engineering, Information Technology or relevant field,At least 3 years experience in developing websites and web applications,You must demonstrate past , experience in developing similar websites / complex websites,Mature, reliable, honest,You must be ,Contract length: 2 months,Expected Start Date: 01/02/2021,Job Types: Full-time, Temporary, Contract,Salary: Rs60,000.00 - Rs210,000.00 per month,Experience:"
Junior Web Developer,,"Write well designed, testable, efficient code by using best software development practices,Create website layout/user interface by using standard HTML, CSS and Wordpress practices,PHP and OOP knowledge would be ,Integrate data from various back-end services and databases,Gather and refine specifications and requirements based on technical needs,Be responsibile for maintaining, expanding, and scaling our site,Cooperate with web designers to match visual design intent,Bachelors in Computer Science or any other related field.,Must have 6 months to 1 year experience as a web developer.,Web Developer: 1 year (Preferred),Yes","Job Type: Full-time,Salary: Rs20,000.00 - Rs25,000.00 per month,Experience:,Work Remotely:"
Internee Leading to Job - IT,,"Bachelor's or Master's degree in CS/IT/SE,Must have good programming skills in Python,Familiar with various design and architectural patterns.,Must have a strong knowledge of object-oriented programming language.,Familiarity with API creation and Restful web-services.,Basic understanding of front-end technologies, such as JavaScript, HTML5, CSS3, AJAX.,Good knowledge of Linux/Ubuntu.,Familiarity with using GIT or other version control software for source code management.,Must be familiar with Relational and non Relational Database technologies like MySQL or PostgreSQL and MongoDB,Python: Preferred,Bachelor's (Required),Python: 1 year (Preferred),No","We are looking for a web developer to join our team as a trainee/intern.,Note:,Our internship program is paid.,At the successful conclusion of the internship program, the ideal intern transitions to a full-time Associate Developer position at the company.,Contract length: 2 months,Job Type: Full-time, Internship,Stipend: Rs15,000.00 per month,Experience:,Education:,Job Type: Full-time,Pay: Rs15,000.00 - Rs30,000.00 per month,Experience:,Work Remotely:"
PHP Web Developer Intern,,"The candidate should have strong programming knowledge.,Good understanding of cross-platform and cross-browser.,Creation of clean, logical, well-documented, and re-usable code.,Basic software development experience in PHP using CodeIgniter/laravel framework.,Strong experience with relational databases.,Basic understanding of Bootstrap, jQuery/JavaScript, CSS and HTML Skills,Good grip on Data Structure.,Stay plugged into emerging technologies/industry trends and apply them to operations and activities.,Cooperate with web designers to match visual design intent,PHP: 1 year (Preferred)","We are looking for a PHP developer to join our hard-working team.,Contract length: 3 months,Job Type: Internship,Experience:"
Call Center Rep,,"Quiet place, as comfortable as you can,Good working computer with at least 4GB RAM,Good USB headset with microphone,Good Internet connection with at least 10Mbps Download Speed, 4Mbps Upload Speed, less than 50ms Ping. Ethernet cable connection preferably,802.11ac,DOCSIS 3.0,Web browser: Google Chrome,Beginner 20,000 pkr + comissions,Moderate 30,000 pkr + comissions,Experienced 40,000 pkr + comissions,outbound calling: 3 years (Preferred),Yes","Due to COVID-19 we've created remote work form home to keep you and your family safe. This opportunity can generate great income potential within the safety of your own home, and is an amazing platform to show your skills as a student, house wife or an experienced candidate.,This is a full-time outbound call representative position. Training and all necessary materials will be provided by our managers.,Main requirements are as listed:,Minimum Router/Modem requirements:,Shift timings:,8PM-12AM,****Break (4 HOURS)****,4AM-8AM,(Mon-Fri),Salary:,Skills:,> Candidate needs to have a clear accent and has to pass our english proficiency test,> Candidate needs to be able to work with a team,> Canidate needs to be regular on meetings,> Candidate needs to be able to call and set a minimum of 2 appointments per day,> Candidate needs to follow a 'script',> Candidate needs to have a highschool degree,> Candidate needs to be able to work well under pressure,APPLY NOW:,https://form.jotform.com/202881189757166,Job Type: Full-time,Pay: Rs20,000.00 - Rs40,000.00 per month,Experience:,Work Remotely:"
SEO Content Writer,,"Creating content on a variety of subjects for websites and guest blogs.,As we're a startup and expanding very quickly, there's tons of room for growth within this role.,The candidate must be well versed in research and creative writing.,Strict adherence to deadlines.,Write a clear marketing copy to promote our products/services,Proofread and edit blog posts before publication,Conduct simple keyword research and use SEO guidelines to increase web traffic,Identify customers’ needs and gaps in our content and recommend new topics,Ensure all-around consistency (style, fonts, images, and tone),Create user-friendly content, explaining technical products in a way that is simple to understand,Ability to manage multiple assignments and tasks while meeting deadlines.,Proven work experience as a Content Writer, Copywriter or similar role,Portfolio of published articles,Experience doing research using multiple sources,Familiarity with web publications,Excellent writing and editing skills in English","We need a content writer / Seo Expert for our company in the USA,Job Description,We are looking for an SEO creative content writer to manage all content writing needs for web and social media.,Must have experience in SEO writing. Home-based job freelancers are welcome to apply,It is an amazing opportunity for individuals who want to work in a fast-paced, dynamic environment.,Responsibilities,Requirements,Work is remote from Home,The timing for the job is 9:00 PM -2:00 AM,Job Type: Full-time,Pay: Up to Rs35,000.00 per month"
